antecedent;consequent;support;confidence
really maybe;order;0.003045823245004875;0.250410004100041
order maybe;really;0.003045823245004875;0.38484562066792694
really order;back;0.010416640692597515;0.3880992196209587
order back;really;0.010416640692597515;0.29226571518522404
really order;go;0.010203445533000366;0.38015607580824967
really go;order;0.010203445533000366;0.20908487047161617
order go;really;0.010203445533000366;0.29331230736147945
hard water;really;0.000805403936255894;0.3838383838383838
really would;like;0.024093546545116334;0.4750491642084562
really like;would;0.024093546545116334;0.37812824074979945
would like;really;0.024093546545116334;0.3449907169380177
really needed;one;0.0039023441493513133;0.4492608009186163
needed one;really;0.0039023441493513133;0.3022110649802066
really needed;great;0.0033600055854638303;0.38682359695708335
needed great;really;0.0033600055854638303;0.2946965554948059
really maybe;one;0.00585351622402697;0.48124231242312426
maybe one;really;0.00585351622402697;0.3890131742480736
really maybe;back;0.00528125553247673;0.4341943419434195
maybe back;really;0.00528125553247673;0.39001933523616616
really maybe;go;0.004762605319655596;0.39155391553915536
maybe go;really;0.004762605319655596;0.3811614448213929
really maybe;good;0.007368323936954077;0.6057810578105781
maybe good;really;0.007368323936954077;0.4009497964721846
really maybe;great;0.004518241277076409;0.3714637146371464
maybe great;really;0.004518241277076409;0.3870967741935484
really one;good;0.028818749205193485;0.5304890643288275
really good;one;0.028818749205193485;0.337204043822667
one good;really;0.028818749205193485;0.3374994524668195
really one;great;0.020939255587333963;0.38544511509420976
really great;one;0.020939255587333963;0.3195760551052251
one great;really;0.020939255587333963;0.29677863971302854
really back;go;0.021545178672504807;0.409337470687164
really go;back;0.021545178672504807;0.44149506923509274
back go;really;0.021545178672504807;0.2723390172408359
really pretty;go;0.009273366064816315;0.3499576550296415
pretty go;really;0.009273366064816315;0.3792382603375312
really never;great;0.008803339309447164;0.3536334952671909
never great;really;0.008803339309447164;0.28559294612522246
really go;went;0.010875446650093133;0.22285524500536508
really went;go;0.010875446650093133;0.37755367036011084
go went;really;0.010875446650093133;0.30018238755635085
hard water;get;0.0010323134043651397;0.4919786096256684
time come;like;0.015505895905904883;0.40025102178740385
time like;come;0.015505895905904883;0.21441994379601054
come like;time;0.015505895905904883;0.4420944120574435
time many;come;0.004917202979246511;0.21054879350843478
come many;time;0.004917202979246511;0.4539594843462247
time come;good;0.01652823526771577;0.42664049174524504
come good;time;0.01652823526771577;0.39695182201994184
time many;like;0.010066302447879394;0.4310271193679266
like many;time;0.010066302447879394;0.40936977133296154
time like;good;0.033289613780137194;0.4603382583659466
time good;like;0.033289613780137194;0.3793025072803466
like good;time;0.033289613780137194;0.3516667325193937
time many;good;0.01027825085215726;0.44010249839846255
many good;time;0.01027825085215726;0.3705501618122977
next lots;good;0.0014562102129208735;0.5343092406221409
tour needed;us;0.00015584441491019621;0.4940711462450593
us tour;one;0.0009899237235095663;0.3499338915821948
tour one;us;0.0009899237235095663;0.37050863275781615
us tour;great;0.0012878982448178615;0.45526663728514766
tour great;us;0.0012878982448178615;0.335280753002272
us needed;one;0.004017045638725218;0.4540586245772266
needed one;us;0.004017045638725218;0.3110939461233948
us needed;great;0.0031542909577823713;0.3565388951521984
needed great;us;0.0031542909577823713;0.27665390924002187
us one;great;0.015317635852693365;0.3495504722886082
us great;one;0.015317635852693365;0.35740051198510586
one great;us;0.015317635852693365;0.21710165927444292
fun maybe;well;0.0005485723404838906;0.29689608636977055
fun well;one;0.0029797452130829517;0.39986615358875693
fun one;well;0.0029797452130829517;0.2752187931828651
fun well;good;0.0033487847875902964;0.4493893257487034
fun good;well;0.0033487847875902964;0.23121287767926316
fun maybe;one;0.0009076378724369828;0.4912280701754386
fun maybe;good;0.0009774561703167507;0.5290148448043186
fun one;good;0.004669098670709478;0.4312528788576693
fun good;one;0.004669098670709478;0.32237238529740897
take long;order;0.003552005904633192;0.3155737704918033
order long;take;0.003552005904633192;0.27967016786099935
take order;never;0.004914709468607948;0.24939896241933446
take never;order;0.004914709468607948;0.29321630467122883
order never;take;0.004914709468607948;0.22889327604227153
take long;never;0.003009667340745709;0.267390341160833
long never;take;0.003009667340745709;0.24383838383838383
tour needed;one;0.00015335090427163306;0.48616600790513836
